,Unnamed: 0,O_ID,O_Time,usage,Hour,year
4863752,4863752,2102,2018-07-04 18:00:00,8,18:00:00,2018
4863753,4863753,2102,2018-07-04 19:00:00,21,19:00:00,2018
4863754,4863754,2102,2018-07-04 20:00:00,20,20:00:00,2018
4863755,4863755,2102,2018-07-04 21:00:00,28,21:00:00,2018
4863756,4863756,2102,2018-07-04 22:00:00,18,22:00:00,2018
4863757,4863757,2102,2018-07-04 23:00:00,16,23:00:00,2018
4863758,4863758,2102,2018-07-05 00:00:00,15,00:00:00,2018
4863759,4863759,2102,2018-07-05 01:00:00,17,01:00:00,2018
4863760,4863760,2102,2018-07-05 02:00:00,5,02:00:00,2018
4863761,4863761,2102,2018-07-05 03:00:00,3,03:00:00,2018
4863762,4863762,2102,2018-07-05 04:00:00,3,04:00:00,2018
4863763,4863763,2102,2018-07-05 05:00:00,2,05:00:00,2018
4863764,4863764,2102,2018-07-05 06:00:00,1,06:00:00,2018
4863765,4863765,2102,2018-07-05 07:00:00,1,07:00:00,2018
4863766,4863766,2102,2018-07-05 08:00:00,11,08:00:00,2018
4863767,4863767,2102,2018-07-05 09:00:00,9,09:00:00,2018
4863768,4863768,2102,2018-07-05 10:00:00,2,10:00:00,2018
4863769,4863769,2102,2018-07-05 11:00:00,2,11:00:00,2018
4863770,4863770,2102,2018-07-05 12:00:00,4,12:00:00,2018
4863771,4863771,2102,2018-07-05 13:00:00,0,13:00:00,2018
4863772,4863772,2102,2018-07-05 14:00:00,5,14:00:00,2018
4863773,4863773,2102,2018-07-05 15:00:00,6,15:00:00,2018
4863774,4863774,2102,2018-07-05 16:00:00,5,16:00:00,2018
4863775,4863775,2102,2018-07-05 17:00:00,1,17:00:00,2018
4863776,4863776,2102,2018-07-05 18:00:00,6,18:00:00,2018
4863777,4863777,2102,2018-07-05 19:00:00,15,19:00:00,2018
4863778,4863778,2102,2018-07-05 20:00:00,16,20:00:00,2018
4863779,4863779,2102,2018-07-05 21:00:00,18,21:00:00,2018
4863780,4863780,2102,2018-07-05 22:00:00,24,22:00:00,2018
4863781,4863781,2102,2018-07-05 23:00:00,16,23:00:00,2018
4863782,4863782,2102,2018-07-06 00:00:00,17,00:00:00,2018
4863783,4863783,2102,2018-07-06 01:00:00,3,01:00:00,2018
4863784,4863784,2102,2018-07-06 02:00:00,5,02:00:00,2018
4863785,4863785,2102,2018-07-06 03:00:00,0,03:00:00,2018
4863786,4863786,2102,2018-07-06 04:00:00,0,04:00:00,2018
4863787,4863787,2102,2018-07-06 05:00:00,0,05:00:00,2018
4863788,4863788,2102,2018-07-06 06:00:00,0,06:00:00,2018
4863789,4863789,2102,2018-07-06 07:00:00,0,07:00:00,2018
4863790,4863790,2102,2018-07-06 08:00:00,3,08:00:00,2018
4863791,4863791,2102,2018-07-06 09:00:00,7,09:00:00,2018
4863792,4863792,2102,2018-07-06 10:00:00,2,10:00:00,2018
4863793,4863793,2102,2018-07-06 11:00:00,1,11:00:00,2018
4863794,4863794,2102,2018-07-06 12:00:00,4,12:00:00,2018
4863795,4863795,2102,2018-07-06 13:00:00,6,13:00:00,2018
4863796,4863796,2102,2018-07-06 14:00:00,2,14:00:00,2018
4863797,4863797,2102,2018-07-06 15:00:00,1,15:00:00,2018
4863798,4863798,2102,2018-07-06 16:00:00,6,16:00:00,2018
4863799,4863799,2102,2018-07-06 17:00:00,15,17:00:00,2018
4863800,4863800,2102,2018-07-06 18:00:00,17,18:00:00,2018
4863801,4863801,2102,2018-07-06 19:00:00,19,19:00:00,2018
4863802,4863802,2102,2018-07-06 20:00:00,15,20:00:00,2018
4863803,4863803,2102,2018-07-06 21:00:00,27,21:00:00,2018
4863804,4863804,2102,2018-07-06 22:00:00,15,22:00:00,2018
4863805,4863805,2102,2018-07-06 23:00:00,18,23:00:00,2018
4863806,4863806,2102,2018-07-07 00:00:00,23,00:00:00,2018
4863807,4863807,2102,2018-07-07 01:00:00,17,01:00:00,2018
4863808,4863808,2102,2018-07-07 02:00:00,11,02:00:00,2018
4863809,4863809,2102,2018-07-07 03:00:00,4,03:00:00,2018
4863810,4863810,2102,2018-07-07 04:00:00,2,04:00:00,2018
4863811,4863811,2102,2018-07-07 05:00:00,0,05:00:00,2018
4863812,4863812,2102,2018-07-07 06:00:00,2,06:00:00,2018
4863813,4863813,2102,2018-07-07 07:00:00,1,07:00:00,2018
4863814,4863814,2102,2018-07-07 08:00:00,1,08:00:00,2018
4863815,4863815,2102,2018-07-07 09:00:00,2,09:00:00,2018
4863816,4863816,2102,2018-07-07 10:00:00,4,10:00:00,2018
4863817,4863817,2102,2018-07-07 11:00:00,4,11:00:00,2018
4863818,4863818,2102,2018-07-07 12:00:00,6,12:00:00,2018
4863819,4863819,2102,2018-07-07 13:00:00,6,13:00:00,2018
4863820,4863820,2102,2018-07-07 14:00:00,6,14:00:00,2018
4863821,4863821,2102,2018-07-07 15:00:00,10,15:00:00,2018
4863822,4863822,2102,2018-07-07 16:00:00,7,16:00:00,2018
4863823,4863823,2102,2018-07-07 17:00:00,15,17:00:00,2018
4863824,4863824,2102,2018-07-07 18:00:00,24,18:00:00,2018
4863825,4863825,2102,2018-07-07 19:00:00,18,19:00:00,2018
4863826,4863826,2102,2018-07-07 20:00:00,37,20:00:00,2018
4863827,4863827,2102,2018-07-07 21:00:00,28,21:00:00,2018
4863828,4863828,2102,2018-07-07 22:00:00,18,22:00:00,2018
4863829,4863829,2102,2018-07-07 23:00:00,7,23:00:00,2018
4863830,4863830,2102,2018-07-08 00:00:00,20,00:00:00,2018
4863831,4863831,2102,2018-07-08 01:00:00,10,01:00:00,2018
4863832,4863832,2102,2018-07-08 02:00:00,6,02:00:00,2018
4863833,4863833,2102,2018-07-08 03:00:00,9,03:00:00,2018
4863834,4863834,2102,2018-07-08 04:00:00,2,04:00:00,2018
4863835,4863835,2102,2018-07-08 05:00:00,2,05:00:00,2018
4863836,4863836,2102,2018-07-08 06:00:00,1,06:00:00,2018
4863837,4863837,2102,2018-07-08 07:00:00,0,07:00:00,2018
4863838,4863838,2102,2018-07-08 08:00:00,0,08:00:00,2018
4863839,4863839,2102,2018-07-08 09:00:00,0,09:00:00,2018
4863840,4863840,2102,2018-07-08 10:00:00,3,10:00:00,2018
4863841,4863841,2102,2018-07-08 11:00:00,5,11:00:00,2018
4863842,4863842,2102,2018-07-08 12:00:00,11,12:00:00,2018
4863843,4863843,2102,2018-07-08 13:00:00,8,13:00:00,2018
4863844,4863844,2102,2018-07-08 14:00:00,14,14:00:00,2018
4863845,4863845,2102,2018-07-08 15:00:00,13,15:00:00,2018
4863846,4863846,2102,2018-07-08 16:00:00,17,16:00:00,2018
4863847,4863847,2102,2018-07-08 17:00:00,17,17:00:00,2018
4863848,4863848,2102,2018-07-08 18:00:00,29,18:00:00,2018
4863849,4863849,2102,2018-07-08 19:00:00,28,19:00:00,2018
4863850,4863850,2102,2018-07-08 20:00:00,28,20:00:00,2018
4863851,4863851,2102,2018-07-08 21:00:00,30,21:00:00,2018
4863852,4863852,2102,2018-07-08 22:00:00,12,22:00:00,2018
4863853,4863853,2102,2018-07-08 23:00:00,20,23:00:00,2018
4863854,4863854,2102,2018-07-09 00:00:00,15,00:00:00,2018
4863855,4863855,2102,2018-07-09 01:00:00,5,01:00:00,2018
4863856,4863856,2102,2018-07-09 02:00:00,5,02:00:00,2018
4863857,4863857,2102,2018-07-09 03:00:00,4,03:00:00,2018
4863858,4863858,2102,2018-07-09 04:00:00,5,04:00:00,2018
4863859,4863859,2102,2018-07-09 05:00:00,1,05:00:00,2018
4863860,4863860,2102,2018-07-09 06:00:00,1,06:00:00,2018
4863861,4863861,2102,2018-07-09 07:00:00,1,07:00:00,2018
4863862,4863862,2102,2018-07-09 08:00:00,1,08:00:00,2018
4863863,4863863,2102,2018-07-09 09:00:00,5,09:00:00,2018
4863864,4863864,2102,2018-07-09 10:00:00,2,10:00:00,2018
4863865,4863865,2102,2018-07-09 11:00:00,3,11:00:00,2018
4863866,4863866,2102,2018-07-09 12:00:00,0,12:00:00,2018
4863867,4863867,2102,2018-07-09 13:00:00,1,13:00:00,2018
4863868,4863868,2102,2018-07-09 14:00:00,0,14:00:00,2018
4863869,4863869,2102,2018-07-09 15:00:00,0,15:00:00,2018
4863870,4863870,2102,2018-07-09 16:00:00,0,16:00:00,2018
4863871,4863871,2102,2018-07-09 17:00:00,1,17:00:00,2018
4863872,4863872,2102,2018-07-09 18:00:00,0,18:00:00,2018
4863873,4863873,2102,2018-07-09 19:00:00,1,19:00:00,2018
4863874,4863874,2102,2018-07-09 20:00:00,0,20:00:00,2018
4863875,4863875,2102,2018-07-09 21:00:00,0,21:00:00,2018
4863876,4863876,2102,2018-07-09 22:00:00,1,22:00:00,2018
4863877,4863877,2102,2018-07-09 23:00:00,0,23:00:00,2018
4863878,4863878,2102,2018-07-10 00:00:00,0,00:00:00,2018
4863879,4863879,2102,2018-07-10 01:00:00,0,01:00:00,2018
4863880,4863880,2102,2018-07-10 02:00:00,2,02:00:00,2018
4863881,4863881,2102,2018-07-10 03:00:00,1,03:00:00,2018
4863882,4863882,2102,2018-07-10 04:00:00,2,04:00:00,2018
4863883,4863883,2102,2018-07-10 05:00:00,0,05:00:00,2018
4863884,4863884,2102,2018-07-10 06:00:00,0,06:00:00,2018
4863885,4863885,2102,2018-07-10 07:00:00,1,07:00:00,2018
4863886,4863886,2102,2018-07-10 08:00:00,7,08:00:00,2018
4863887,4863887,2102,2018-07-10 09:00:00,3,09:00:00,2018
4863888,4863888,2102,2018-07-10 10:00:00,3,10:00:00,2018
4863889,4863889,2102,2018-07-10 11:00:00,3,11:00:00,2018
4863890,4863890,2102,2018-07-10 12:00:00,5,12:00:00,2018
4863891,4863891,2102,2018-07-10 13:00:00,4,13:00:00,2018
4863892,4863892,2102,2018-07-10 14:00:00,5,14:00:00,2018
4863893,4863893,2102,2018-07-10 15:00:00,6,15:00:00,2018
4863894,4863894,2102,2018-07-10 16:00:00,6,16:00:00,2018
4863895,4863895,2102,2018-07-10 17:00:00,5,17:00:00,2018
4863896,4863896,2102,2018-07-10 18:00:00,8,18:00:00,2018
4863897,4863897,2102,2018-07-10 19:00:00,8,19:00:00,2018
4863898,4863898,2102,2018-07-10 20:00:00,12,20:00:00,2018
4863899,4863899,2102,2018-07-10 21:00:00,4,21:00:00,2018
4863900,4863900,2102,2018-07-10 22:00:00,9,22:00:00,2018
4863901,4863901,2102,2018-07-10 23:00:00,0,23:00:00,2018
4863902,4863902,2102,2018-07-11 00:00:00,3,00:00:00,2018
4863903,4863903,2102,2018-07-11 01:00:00,0,01:00:00,2018
4863904,4863904,2102,2018-07-11 02:00:00,1,02:00:00,2018
4863905,4863905,2102,2018-07-11 03:00:00,1,03:00:00,2018
4863906,4863906,2102,2018-07-11 04:00:00,1,04:00:00,2018
4863907,4863907,2102,2018-07-11 05:00:00,0,05:00:00,2018
4863908,4863908,2102,2018-07-11 06:00:00,0,06:00:00,2018
4863909,4863909,2102,2018-07-11 07:00:00,1,07:00:00,2018
4863910,4863910,2102,2018-07-11 08:00:00,3,08:00:00,2018
4863911,4863911,2102,2018-07-11 09:00:00,3,09:00:00,2018
4863912,4863912,2102,2018-07-11 10:00:00,3,10:00:00,2018
4863913,4863913,2102,2018-07-11 11:00:00,2,11:00:00,2018
4863914,4863914,2102,2018-07-11 12:00:00,1,12:00:00,2018
4863915,4863915,2102,2018-07-11 13:00:00,2,13:00:00,2018
4863916,4863916,2102,2018-07-11 14:00:00,2,14:00:00,2018
4863917,4863917,2102,2018-07-11 15:00:00,3,15:00:00,2018
4863918,4863918,2102,2018-07-11 16:00:00,5,16:00:00,2018
4863919,4863919,2102,2018-07-11 17:00:00,10,17:00:00,2018
4863920,4863920,2102,2018-07-11 18:00:00,20,18:00:00,2018
4863921,4863921,2102,2018-07-11 19:00:00,27,19:00:00,2018
4863922,4863922,2102,2018-07-11 20:00:00,16,20:00:00,2018
4863923,4863923,2102,2018-07-11 21:00:00,26,21:00:00,2018
4863924,4863924,2102,2018-07-11 22:00:00,14,22:00:00,2018
4863925,4863925,2102,2018-07-11 23:00:00,11,23:00:00,2018
4863926,4863926,2102,2018-07-12 00:00:00,15,00:00:00,2018
4863927,4863927,2102,2018-07-12 01:00:00,1,01:00:00,2018
4863928,4863928,2102,2018-07-12 02:00:00,5,02:00:00,2018
4863929,4863929,2102,2018-07-12 03:00:00,1,03:00:00,2018
4863930,4863930,2102,2018-07-12 04:00:00,0,04:00:00,2018
4863931,4863931,2102,2018-07-12 05:00:00,0,05:00:00,2018
4863932,4863932,2102,2018-07-12 06:00:00,1,06:00:00,2018
4863933,4863933,2102,2018-07-12 07:00:00,2,07:00:00,2018
4863934,4863934,2102,2018-07-12 08:00:00,6,08:00:00,2018
4863935,4863935,2102,2018-07-12 09:00:00,3,09:00:00,2018
4863936,4863936,2102,2018-07-12 10:00:00,6,10:00:00,2018
4863937,4863937,2102,2018-07-12 11:00:00,1,11:00:00,2018
4863938,4863938,2102,2018-07-12 12:00:00,2,12:00:00,2018
4863939,4863939,2102,2018-07-12 13:00:00,2,13:00:00,2018
4863940,4863940,2102,2018-07-12 14:00:00,3,14:00:00,2018
